Species,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp
Tragelaphus strepsiceros,Female,Hormonal,35,649,4,6.714818989,0.189653051,6.727814338,0.743447391,0.000234287,0.207620045,-0.415520538,0.394956561
Tragelaphus strepsiceros,Male,Surgical,43,476,2,4.753296271,0.184165498,5.564772004,0.658394139,-0.234481152,0.190578209,-0.632928089,0.124018371
Ursus americanus,Male,Surgical,71,235,2,18.10743142,0.722115553,19.68598543,1.338867828,-0.25305516,0.234966282,-0.738236434,0.190827057
Ursus arctos,Male,Surgical,61,206,4,23.53132524,0.966800344,21.77299269,1.742178752,0.243447777,0.265409666,-0.283298361,0.751806518
Varecia rubra,Female,Hormonal,160,397,2,16.24916455,0.568646196,17.40398513,1.025495746,-0.163766449,0.16317166,-0.488065801,0.160030836
Vicugna pacos,Male,Surgical,139,820,2,12.23426116,0.291331458,11.87485003,0.620693703,0.079321406,0.14824627,-0.219007847,0.361082368
Vulpes lagopus,Male,Surgical,31,206,2,6.073525627,0.284688447,6.192996768,0.705428661,-0.042182432,0.254802106,-0.563467302,0.420627972
Vulpes vulpes,Male,Surgical,64,466,1,9.264432242,0.29571312,12.12622748,1.112778264,-0.708317057,0.279065351,-1.274696921,-0.181084134
Vulpes vulpes,Male,Surgical,64,466,1,9.264432242,0.29571312,12.12622748,1.112778264,-0.708317057,0.279065351,-1.274696921,-0.181084134
Vulpes zerda,Male,Surgical,40,478,3,7.367934832,0.17776294,6.240258921,0.519112113,0.437085265,0.204890981,0.026780709,0.831249153
Zalophus californianus,Male,Surgical,36,296,9,12.48344459,0.506133562,10.91315172,1.144904903,0.281474849,0.211592202,-0.145567728,0.684304345
Zalophus californianus,Male,Surgical,36,296,9,12.48344459,0.506133562,10.91315172,1.144904903,0.281474849,0.211592202,-0.145567728,0.684304345
