"Species","Sex","Type","Ncontra","NnoContra","minAge","LifeExpNoContra","SEnoContra","LifeExpContra","SEcontra","pHazGamma","pHazGammaSE","pHazGammaLow","pHazGammaUpp"
"Papio papio","Male","Surgical",49,133,5,14.2358670017354,0.85064248255479,13.5240794716826,1.88370958953251,0.13001363532985,0.354393121949257,-0.594742870084193,0.802301171403749
"Pecari tajacu","Male","Surgical",77,322,5,11.8494153094229,0.498729155972078,12.9846101639857,1.04275789655414,-0.20282832331977,0.206180844015631,-0.619338974801824,0.189981563699252
"Petaurus breviceps","Male","Surgical",105,848,1,7.06958016419035,0.211457424232764,6.66768261490149,0.514113308990237,0.0995299485407399,0.133591628933799,-0.163160464805426,0.35505446475062
"Phacochoerus africanus","Female","Hormonal",51,230,2,9.19898429340368,0.341786609424306,9.59125386378137,0.676251818537138,-0.122042139359033,0.223516486060475,-0.572820045380669,0.306466650678116
"Pithecia pithecia","Female","Hormonal",98,183,5,12.0171888782632,0.92672479366023,14.737187328546,1.54518708634265,-0.319986940102962,0.196573224118756,-0.701590129076319,0.0613776149193409
"Pongo abelii","Female","Hormonal",84,245,9,27.6539774251919,1.39924216926039,34.0093667415184,2.40679541714314,-0.655887434696358,0.291903074992353,-1.24129270900768,-0.101497844628867
"Potamochoerus porcus","Female","Hormonal",49,321,2,10.32187353358,0.328439836957073,9.87183020710416,0.764880053662651,0.11725176419852,0.214618457433738,-0.329927852584983,0.540747296690547
"Potamochoerus porcus","Male","Surgical",37,305,2,10.2208857239659,0.333521532684404,12.1583675773317,0.939703624023867,-0.559323988004904,0.300698963138044,-1.1837427632296,-0.00854457305274595
"Procavia capensis","Male","Hormonal",62,372,1,4.34334799067129,0.195534491604247,4.94132412881343,0.52438827559231,-0.187268955927883,0.173155793332779,-0.532152997252232,0.14653615377544
"Procyon lotor","Female","Surgical",180,1111,1,10.485687264724,0.223213512989746,11.0189442001619,0.570693065504188,-0.122339764986032,0.137209587951024,-0.394527882486571,0.143533345855453
"Procyon lotor","Male","Surgical",392,998,1,8.96232354634775,0.244606100761794,11.4388525908866,0.43213088501884,-0.519358233156253,0.0996673628499414,-0.715522158128054,-0.328312632004882
"Pteropus rodricensis","Female","Hormonal",131,845,1,10.0601165904539,0.33065139877621,12.3090662156536,1.03505686162936,-0.313039344619557,0.149365272874003,-0.62238543497572,-0.0249296412679288
"Puma concolor","Male","Surgical",60,315,6,9.14907923260546,0.254327180146774,9.156979807483,0.501659244107989,-0.00227095999795012,0.18860478117226,-0.382395449686206,0.349749524617181
"Rangifer tarandus","Male","Surgical",48,649,1,5.30979786789858,0.213543171397238,7.38055607715067,0.880466865867517,-0.497527268859113,0.208389550477162,-0.91762843388821,-0.105541728992012
"Rattus norvegicus","Female","Surgical",34,647,1,1.29161272695094,0.0355091304653973,1.48041432113028,0.189497704269486,-0.213295781717962,0.215677060406596,-0.647387775366357,0.207542656705484
"Rattus norvegicus","Male","Surgical",42,355,1,1.24815530989062,0.0445336363874655,1.27460883628985,0.120287661304476,-0.0315348373905455,0.171530174391552,-0.376451265280858,0.298367526663489
"Rousettus aegyptiacus","Male","Surgical",76,985,1,9.05240013921011,0.250128084560784,7.38351642845251,0.648451273827902,0.340539476520175,0.144737575533943,0.0541524121416916,0.61836987801335
"Saguinus bicolor","Female","Hormonal",64,81,4,7.50968184735462,0.738576691881712,9.73842562331557,1.07881852444854,-0.432874755449144,0.237160022206763,-0.908739600930343,0.025077746147912
"Saguinus oedipus","Female","Hormonal",216,1254,2,9.13620950650067,0.223564929157882,10.6929980502568,0.627083230614703,-0.257227858958845,0.106692848452971,-0.466906431441441,-0.0558755207609878
"Saguinus oedipus","Female","Surgical",33,1254,2,9.13004668119638,0.235043948473604,8.2447369449718,1.19842246607947,0.15504136841803,0.208059030063677,-0.271305238816736,0.54648858912478
"Saguinus oedipus","Male","Hormonal",37,1257,4,9.49373004773584,0.194191842193007,9.27569566495101,1.211692502537,0.0482996679558005,0.251741209832274,-0.475809228550826,0.525108026788603
"Saguinus oedipus","Male","Surgical",96,1540,2,10.2595442209444,0.202243459582191,10.7969396565298,0.871473687041622,-0.096833838270642,0.16153667447305,-0.424770274727465,0.215183969749983
"Saimiri sciureus","Female","Hormonal",74,1726,2,11.6248486552647,0.25229369063373,14.2363068811239,1.41432973445394,-0.363688929328838,0.198569520337359,-0.775342057574532,0.00721392496883162
"Saimiri sciureus","Male","Surgical",114,1402,2,9.1950339090482,0.253884548001388,14.1858223553655,1.30871860919954,-0.677415296841473,0.176324922053029,-1.03804281525052,-0.349693704503774
"Sapajus apella","Male","Surgical",89,793,3,20.5214946901863,0.768416632159671,18.2155219672058,1.89023161430905,0.20586420214035,0.18111760697769,-0.172945289147918,0.546972982585226
"Suricata suricatta","Female","Hormonal",263,4132,1,7.62287226892326,0.0855069265809815,8.36749050187372,0.309956640896435,-0.202276989819654,0.0864276899770711,-0.376093380034516,-0.0332294367467558
